"","x"
"2214","ANDREW J. FRANZONE, MD, PC"
"2215","ANDREW K SANDS MD PC"
"2216","ANDREW LAGOMARSINO LAC"
"2217","ANDREW LEE GELLER, C.S.W., P.C."
"2218","ANDREW M STROMBERG DEBORAH BOUGHNER CSW PC"
"2219","ANDREW M. MARKER, PSYCHOLOGIST, P.C."
"2220","ANDREW MILANO MD PC"
"2221","ANDREW NAING"
"2222","ANDREW P. MARKS, DDS, PC"
"2223","ANDREW RESNICK, AU.D., LLC"
"2224","ANDREW S. GARDNER, M.D., P.C."
"2225","ANDREW SAMA MD PC"
"2226","ANDREW WILLIAM WENDLING MD PC"
"2227","ANDREW ZIMMERMAN LCSW PLLC"
"2228","ANDREY KESLER, OD"
"2229","ANDREY KUCHERINA MEDICAL PC"
"2230","ANDRICKSON DENTAL OFFICE"
"2231","ANDY PHARMACY II INC."
"2232","ANELISE ENGEL MD PC"
"2233","ANESTHESIA ASSOCIATES OF PARK AVENUE"
"2234","ANESTHESIA PROFESSIONAL PC"
"2235","ANESTHESIA PROVIDERS"
"2236","ANESTHESIA SPECIALTY SERVICES, PC"
"2237","ANESTHESIOLOGY ASSOC OF MANHATTAN PC"
"2238","ANESTHESIOLOGY CONSULTANT OF BROOKLYN, P.C."
"2239","ANETTA RESZKO MD PC"
"2240","ANFEX MEDICAL SUPPLY"
"2241","ANGEL ALCANTARA, M.D., P.C."
"2242","ANGEL DERUVO PLLC"
"2243","ANGEL DERUVO, MA CCC SLP PLLC"
"2244","ANGEL GARCIA JR, DPT"
"2245","ANGEL M ALCANTARA MD, PC"
"2246","ANGEL SIERRA"
"2247","ANGEL'S TOUCH HOME CARE"
"2248","ANGELA DJOUMBAYE"
"2249","ANGELA FERDINAND"
"2250","ANGELA M. GODWIN, NURSE PRACTITIONER IN FAMILY HEALTH, PLLC."
"2251","ANGELA MONTI FOX, LCSW PLLC"
"2252","ANGELA'S ADULT DAY CARE INC"
"2253","ANGELIC ASSIST LLC"
"2254","ANGELIC CARE CENTER LLC"
"2255","ANGELIC CHILDCARE SERVICES LLC"
"2256","ANGELIC PHYSICAL THERAPY P.C."
"2257","ANGELICUM MEDICAL SERVICES PC"
"2258","ANGELINA G. RICAFRENTE, DMD PC"
"2259","ANGELINA OPTOMETRY PC"
"2260","ANGELMARC, LLC"
"2261","ANGELS CARE & REHABILITATION CENTER, LLC"
"2262","ANGER SOLUTION CONSULTANTS, INC."
"2263","ANGIE MAN-CHI ENG,MD,PC"
"2264","ANGUEL PANEV, DDS, PC"
"2265","ANH PHARMACY INC"
"2266","ANIL GUPTA,M.D.,P.C."
"2267","ANIL PHARMACY INC"
"2268","ANITA KURTI SLP LLC"
"2269","ANITA SIMONS OTR PLLC"
"2270","ANMIAN LLC"
"2271","ANN G ODONNELL"
"2272","ANN LANG MA OTR CHT"
"2273","ANN M WOO, M.D.,P.C."
"2274","ANNA ALEKSEYEVA DDS PC"
"2275","ANNA BESSONOVA INSIGHTFUL NUTRITION"
"2276","ANNA BOYMAN, MD, PLLC"
"2277","ANNA ERIKA"
"2278","ANNA ERIKA ALP"
"2279","ANNA HAJOSI ACUPUNCTURE PLLC"
"2280","ANNA K. OCCUPATIONAL THERAPIST PC"
"2281","ANNA ROONEY PHYSICAL THERAPY PLLC"
"2282","ANNA SHAPIRO"
"2283","ANNA SUPONYA MEDICAL PRACTICE, PLLC"
"2284","ANNA SUPONYA, MD, PC"
"2285","ANNADA K DAS M D P C"
"2286","ANNADALE FAMILY PHARMACY"
"2287","ANNALEE LDERCARE LLC"
"2288","ANNALISE MAYERSON MS CCC- SLP PC"
"2289","ANNE CHAN-LY, DDS, PLLC"
"2290","ANNE FRIBOURG PC"
"2291","ANNE HARDICK DACKO, M.D., PLLC"
"2292","ANNE ROSEN NORAN LCSW PC"
"2293","ANNE SCOTT NEWHOUSE,LCSW,LLC"
"2294","ANNE SLATER SOCIAL WORKER"
"2295","ANNETTE KIRSZROT, BCO OCULAR PROSTHETICS, INC."
"2296","ANP PHARMACEUTICALS LLC"
"2297","ANR ADVANCE HOME CARE SERVICES, INC"
"2298","ANR HOMECARE SERVICES, LLC"
"2299","ANSCHEL MEDICAL ASSOCIATES, INC."
"2300","ANSHIN MEDICAL HEALTH CARE PLLC"
"2301","ANSONIA OPTICAL LTD."
"2302","ANSWORTH A. ALLEN, MD,"
"2303","ANTA AMAR"
"2304","ANTEKA RX INC"
"2305","ANTEKA RX INC."
"2306","ANTHONY ADDESSO DC PC"
"2307","ANTHONY BERTELLE M.D. P.C."
"2308","ANTHONY CONCIATORI DO LLC"
"2309","ANTHONY FOONG M.D.PC"
"2310","ANTHONY G CASERTA LTD."
"2311","ANTHONY GAUDIOSO, PH.D, LICENSED MENTAL HEALTH COUNSELOR, P.C."
"2312","ANTHONY J ESPOSITO, DPM"
"2313","ANTHONY K FREMPONG-BOADU"
"2314","ANTHONY P. AZAR, M.D. P.C."
"2315","ANTHONY P. GERACI, MD, PC"
"2316","ANTHONY P. SCLAFANI, M.D. LLC"
"2317","ANTHONY S BORCICH M.D., P.C."
"2318","ANTHONY VERRONE, M.D., P.C."
"2319","ANTHONY WILLIAM ZOGHBI MD"
"2320","ANTOINE C HAROVAS MD PC"
"2321","ANTOINETTE CAVALENES JOYCE"
"2322","ANTON P GINZBURG DPM PC"
"2323","ANTONIO G GARCIA MD"
"2324","ANU GUPTA DENTISTRY P.C."
"2325","ANURA M RAJAPAKSA AND TRIKANTE N RAJAPAKSA PHYSICIANS PC"
"2326","ANUTHEP BENJA-ATHON, MD, PC"
"2327","ANYTIME BUSINESS ASSISTANT"
"2328","AP DIAGNOSTIC LLC"
"2329","AP MEDICAL"
"2330","APEX CARE OCCUPATIONAL THERAPY, P.C."
"2331","APEX DENTAL GROUP, P.L.L.C."
"2332","APEX FAMILY PHARMACY CORP"
"2333","APEX MEDICAL MANAGEMENT PLLC"
"2334","APICHA COMMUNITY HEALTH CENTER"
"2335","APNA ADULT DAYCARE OF BRIGHTON LLC"
"2336","APOLLO CHIROPRACTIC PC"
"2337","APOLLO MEDICAL, P.C."
"2338","APOLLO PHARMA INC"
"2339","APOLLO PHYSICAL THERAPY & PHYSICAL THERAPIST ASSISTANT, PLLC"
"2340","APOLLO RADIO DISPATCHER"
"2341","APOTHECO PHARMACY NEW YORK"
"2342","APPLE BEST HOME CARE AGENCY INC."
"2343","APPLE BLOSSOM OCCUPATIONAL THERAPY SERVICES PLLC."
"2344","APPLE DRUG INC."
"2345","APPLE HOME CARE LTD."
"2346","APPLE OPHTHALMOLOGY PLLC"
"2347","APPLE PAIN MANGEMENT PLLC"
"2348","APPLE RADIO INC"
"2349","APPLIED BEHAVIORAL INTERVENTIONS, PSYCHOLOGY, PT, OT, SLP, LMSW, PLLC."
"2350","APPLIED BEHAVIORAL MENTAL HEALTH COUNSELING P.C"
"2351","APPLIED BEHAVIORAL SCIENCES, LCSW, PC"
"2352","APPLIED SUPPORT FOR AUTISM LLC"
"2353","APPROACH QUALITY TRANSPORTATION LLC"
"2354","APPROVED MEDICAL SUPPLY INC."
"2355","APPROVED SURGICAL SUPPLY CO INC"
"2356","APPROVED TRANSPORTATION SERVICES INC."
"2357","APRIME MEDICAL SUPPLIES"
"2358","APTEKA CORP"
"2359","APTEKA RX INC"
"2360","APTIN GHODS-DJURABCHI, DDS, PC"
"2361","APW DENTAL SERVICES, PC"
"2362","APW IMAGING OF BROOKLYN, LLC"
"2363","APW IMAGING OF NEW CITY, LLC"
"2364","APW IMAGING SERVICES, LLC"
"2365","AQ THERAPY ASSOC."
"2366","AQUA HEALTH PHYSICAL THERAPY PC"
"2367","AQUA PHYSICAL THERAPY P.C"
"2368","AQUINAS LLC DBA SENIOR HELPERS"
"2369","AR & MR PHARMACY INC"
"2370","AR BOROUGH MEDICAL PC"
"2371","AR PHYSICAL THERAPY & PHYSICAL THERAPIST ASSISTANT PLLC"
"2372","AR VISION, CORP"
"2373","AR&AR PROGRESSIVE DENTISTRY"
"2374","ARAMARK"
"2375","ARAPIDIS FOOT CARE OF GREATER NY PC"
"2376","ARAS OCCUPATIONAL THERAPY PLLC"
"2377","ARAS THERAPY SOLUTIONS LLC"
"2378","ARB SPEECH PATHOLOGY"
"2379","ARBOR MEDICAL PC"
"2380","ARCADIA IMAGING PC"
"2381","ARCADIA OBGYN, PC"
"2382","ARCELY PHARMACY INC"
"2383","ARCH CARE SENIOR LIFE PACE PROGRAM"
"2384","ARCH DENTAL ASSOCIATES"
"2385","ARCHANA SINGIRI MEDICAL P.C."
"2386","ARCHCARE SENIOR LIFE"
"2387","ARCHER PHARMACY INC"
"2388","ARCHI-MED PHARMACY INC."
"2389","ARCONSOUTH LLC"
"2390","ARD HOLDINGS"
"2391","ARDEE ASSOCIATES OYSTER BAY LLC"
"2392","ARDEN DENTAL P.C."
"2393","ARDEN DENTAL PC"
"2394","ARDEN DENTAL SERVICES P.C"
"2395","ARDENT MEDICAL SUPPLY"
"2396","ARDENT MEDICAL SUPPLY INC."
"2397","ARDENT PHARMACY INC"
"2398","ARDESHIR TAHERI-TAFRESHI DMD PC"
"2399","ARDESHIR TAHERI-TAFRESHI DMD, INC."
"2400","AREAS TRANS, INC."
"2401","AREBA CASRIEL INC"
"2402","AREBA CASRIEL INSTITUTE"
"2403","AREBA CASRIEL, INC."
"2404","ARENA CARE AND WELLNESS CENTER"
"2405","ARGUS COMMUNITY INC"
"2406","ARGYLE PHARMACY & FOOD MART INC."
"2407","ARHTUR M. FIGUR, RICHARD J. MEYER MD PC"
"2408","ARI GITLIN, DDS P.C."
"2409","ARI MEDICAL, PC"
"2410","ARI S BRAND PLLC"
"2411","ARIBER SPEECH THERAPY P.C."
"2412","ARIE FLEISCHER, M.D., P.C."
"2413","ARIEL MEDICAL CARE, P.C"
"2414","ARIELLA ROTH"
"2415","ARIES CHIROPRACTIC, P.C."
"2416","ARILAN SLP PC"
"2417","ARIMED ORTHOTICS PROSTHETICS PEDORTHICS INC."
"2418","ARISDOV MEDICAL PC"
"2419","ARISTA HOME CARE LLC"
"2420","ARISTA PHYSICAL THERAPY WELLNESS PLLC"
"2421","ARISTAHEALTH MEDICAL CARE PC"
"2422","ARJO CHIROPRACTIC PLLC"
"2423","ARJUN MEDICAL GROUP PC"
"2424","ARKADIA PHYSICAL THERAPY AND REHABILITATION PC"
"2425","ARKADY VAKNANSKY MD PA"
"2426","ARKAYEM, LLC"
"2427","ARLENE BAIILY MS OTRL PC"
"2428","ARLENE H. MARKOWITZ, M.D., F.A.C.S., P.C."
"2429","ARLETTE'S HOME CARE AGENCY"
"2430","ARLOTTA & ASSOCIATES INC."
"2431","ARMAND G CACCIARELLI MD PC"
"2432","ARMIN M TEHRANY MD PC"
"2433","ARNOLD A. LIPTON, MD, PC"
"2434","ARNOLD BLANK MD LLC"
"2435","ARNOLD C TOBACK MD PC"
"2436","ARNOLD I. SILVERBERG, MD, PC"
"2437","ARNOLD LICHT MD PC"
"2438","ARNOLD LISIO, M.D., P.C."
"2439","ARNOLD MELMAN MD PLLC"
"2440","ARNOLD YAGODA, MD PC"
"2441","ARNOLD ZOMICKD.D.S."
"2442","ARNON LAMBROZA MD PC"
"2443","ARNOT HEALTH"
"2444","ARNOW FAMILY MEDICAL CENTER"
"2445","AROCH MEDICAL PC"
"2446","ARON ROSENBERG ENTERPRISES"
"2447","ARON ROSENBERG SLP, PLLC"
"2448","AROOBA CORP"
"2449","AROWANAS ED INC"
"2450","ARP PSYCHOLOGICAL SERVICES PC"
"2451","ARROCHAR PHARMACY INC"
"2452","ARROW PHARMACY INC"
"2453","ARROW PHYSICAL THERAPY PC"
"2454","ART OF ANESTHESIA, LLC"
"2455","ART OF ANESTHESIA, PLLC"
"2456","ART OF DENTISTRY PC"
"2457","ART OF DERMATOLOGY, LLC"
"2458","ART OF HEALING MEDICINE PC"
"2459","ART OF MEDICINE P.C."
"2460","ART'S PLACE"
"2461","ARTAVIA AGENCY OF NEW YORK"
"2462","ARTEMIS ACUPUNCTURE PC."
"2463","ARTEMIS DENTAL PC"
"2464","ARTHRITIS & MEDICAL SERVICES LLC"
"2465","ARTHRITIS & RHEUMATOLOGY CARE PC"
"2466","ARTHRITIS AND OSTEOPOROSIS MEDICAL ASSOCIATES"
"2467","ARTHUR AVE. FOOTCARE P.C."
"2468","ARTHUR AVENUE COMPREHENSIVE HEALTH"
"2469","ARTHUR AVENUE ORTHOPEDICS, PC"
"2470","ARTHUR AVENUE PEDIATRICS PC"
"2471","ARTHUR BUKHATETSKY OD PLLC"
"2472","ARTHUR CHIROPRACTIC WELLNESS OF NEW YORK"
"2473","ARTHUR H WEISS MD PC"
"2474","ARTHUR H. GERBER, MD, PC"
"2475","ARTHUR I. GOLDBERG M.D. P.C."
"2476","ARTHUR KENNISH MD"
"2477","ARTHUR M LUBITZ MD PC"
"2478","ARTHUR M. COTLIAR, MD PLLC"
"2479","ARTHUR M. COTLIAR, MD, PLLC"
"2480","ARTHUR M. PERLMAN, M.D., P.C."
"2481","ARTHUR W HAMMER MD PLLC"
"2482","ARTISAN PODIATRY, PC"
"2483","ARTISTA DENTAL STUDIO P.C."
"2484","ARTISTIC QUALITY THERAPY ASSOCIATES OCCUPATIONAL AND MASSAGE THER PLLC"
"2485","ARTS RX, LLC"
"2486","ARTUS PHYSICAL THERAPY PLLC"
"2487","ARUNA M. SENEVIRATNE MD PC"
"2488","ARUNA PULIJAAL, PHYSICIAN, P.C."
"2489","ARVI VILLANUEVA PTPC"
"2490","ARVUT HOME CARE CDPAP INC"
"2491","ARVUT HOME CARE INC"
"2492","ARWA PHYSICAL THERAPY PC"
"2493","ARYA PHARMACY CORP"
"2494","ARYEH L. POLLACK, M.D., P.C."
"2495","ASA HOME SERVICES, INC"
"2496","ASAP LUXE INC"
"2497","ASC MEDICAL SERVICES, PLLC"
"2498","ASC OF NEW YORK, LLC"
"2499","ASCEND PHYSICAL THERAPY, PC"
"2500","ASCLEPIAN SAVE A LIFE INC."
"2501","ASCLEPIUS ACUPUNCTURE PC"
"2502","ASCONA AMBULETTE SERVICE"
"2503","ASCONA CAR SERVICE INC."
"2504","ASCONA CAR SERVICE, INC."
"2505","ASENCIO PHARMACY INC"
"2506","ASET INC."
"2507","ASF PHARMACY INC"
"2508","ASFC INC"
"2509","ASHER PAKIER PH.D. PSYCHOLOGIST PC"
"2510","ASHER RUDOWSKY DPM, P.C."
"2511","ASHLEY HOOPER"
"2512","ASHOK PHARMACY INC"
"2513","ASHOKKUMAR DAVE DENTIST PC"
"2514","ASHRAF ASHOUR PHYSICAL THERAPY, P.C."
"2515","ASIAN AMERICANS FOR EQUALITY"
"2516","ASIAN COMMUNITY UNITED SOCIETY INC."
"2517","ASIAN DIABETES CENTER LLC"
"2518","ASIAN ELDERS DAY CARE CENTER"
"2519","ASIAN SENIOR DAY CARE CORP."
"2520","ASIAN-AMERICAN ADULT SOCIAL DAY CARE CENTER, INC."
"2521","ASJS MEDICAL PLLC"
"2522","ASJS MEDICAL, PLLC"
"2523","ASK YOUR MIDWIFE PC"
"2524","ASKA DENTAL"
"2525","ASM DRUGS INC"
"2526","ASM PHARMACY CORP"
"2527","ASMK LLC"
"2528","ASNA WELLNESS MEDICAL OB / GYN PC"
"2529","ASNIS DENTAL PLLC"
"2530","ASOA LLC"
"2531","ASPCA"
"2532","ASPIRE CENTER FOR HEALTH WELLNESS BROOKLYN LLP"
"2533","ASPIRE CENTER FOR NEUROGENIC & ORTHOPEDIC REHABILITATION, LLP"
"2534","ASPIRE HEALTH SOLUTIONS"
"2535","ASPIRE PHYSICAL THERAPY AND FITNESS, P.C."
"2536","ASPIRING MINDS LLC"
"2537","ASPIRING MUNCHKINS LLC"
"2538","ASQUAL GETANEH M.D., P.C."
"2539","ASSEM PHYSICAL THERAPY PC"
"2540","ASSERTIVE REHABILITATION MEDICAL SERVICES P.C"
"2541","ASSIST MEDICAL SUPPLY"
"2542","ASSISTANCE BY IMPROV II, INC"
"2543","ASSISTANCE BY IMPROV INC"
"2544","ASSISTCARE HOME HEALTH CARE SERVICES"
"2545","ASSISTCAREHOME HEALTHCARE SERVICES"
"2546","ASSISTED LIVING AT SCHULMAN SCHACHNE INSTITUTE"
"2547","ASSOCIATE OPHTHALMOLOGISTS"
"2548","ASSOCIATED ADVANCED ADULT & PEDIATRIC UROLOGY PC"
"2549","ASSOCIATED EYE MEDICAL PLLC"
"2550","ASSOCIATED FOOT AND ANKLE SPECIALISTS, LLC"
"2551","ASSOCIATED RETINA SPECIALIST, PLLC"
"2552","ASSOCIATES FOR UROLOGIC CARE P.C."
"2553","ASSOCIATES IN INTERNAL MEDICINE P.C."
"2554","ASSOCIATES IN VISION REHABILITATION, INC."
"2555","ASSOCIATION FOR RETARDED CHILDREN"
"2556","ASSOCIATION TO BENEFIT CHILDREN-FAST BREAK MOBILE MENTAL HEALTH CLINIC"
"2557","ASSURANCE MEDICAL SUPPLY LLC"
"2558","ASSURANCE MEDICAL SUPPLY PLUS INC"
"2559","ASSURED MEDICAL SUPPLIES, LLC"
"2560","ASSURED MEDICAL SUPPLY"
"2561","ASTER OB/GYN PC"
"2562","ASTOR CARE MEDICAL, PC"
"2563","ASTOR CHILD GUIDANCE CENTER"
"2564","ASTOR HOME FOR CHILDREN"
"2565","ASTOR MEDICAL GROUP LLP"
"2566","ASTOR PHARMACY & MEDICAL SUPPLIES LLC"
"2567","ASTOR SERVICERS FOR CHILDREN AND FAMILIES"
"2568","ASTOR SERVICES FOR CHILDREN AND FAMILIES"
"2569","ASTOR SMILE DENTAL PLLC"
"2570","ASTORIA ADULT DAY CARE CENTER INC"
"2571","ASTORIA ADVANCED FOOT CARE"
"2572","ASTORIA ADVANCED FOOTCARE"
"2573","ASTORIA DENTAL DESIGN"
"2574","ASTRA HOME CARE"
"2575","ASTRA MEDICAL PLLC"
"2576","ASTRO AMBULETTE CORP"
"2577","ASTROCARE MEDICAL SERVICES PC"
"2578","ASYA BENIN MD LLC"
"2579","ASZ DRUG CORP"
"2580","AT HOME PHYSICAL THERAPY SERVICES, PC"
"2581","AT SERVICES CORP"
"2582","AT YOUR SIDE INC"
"2583","ATAC MEDICAL CARE PC"
"2584","ATERES MORDECHAI"
"2585","ATERET AVOTH LLC"
"2586","ATFY INC."
"2587","ATHALON PHYSICAL THERAPY PC"
"2588","ATHANASIOS MALLIOS, M.D., P.C."
"2589","ATHINA GIOVANIS"
"2590","ATKIN PHARMACY INC"
"2591","ATLANT CHIROPRACTIC, P.C."
"2592","ATLANTIC ADULT DAY CARE CENTER, INC"
"2593","ATLANTIC ADULT DAY CARE LLC"
"2594","ATLANTIC ANESTHESIA /PAIN MANAGEMENT MEDICAL SERVICES P.C."
"2595","ATLANTIC ANESTHESIOLOGY PC"
"2596","ATLANTIC AVENUE RADIOLOGY PC"
"2597","ATLANTIC BARCLAYS PHARMACY INC"
"2598","ATLANTIC CHIROPRACTIC OF NEW YORK PC"
"2599","ATLANTIC DENTAL CARE, P.C."
"2600","ATLANTIC DRUGS INC"
"2601","ATLANTIC GASTROENTEROLOGY, P.C."
"2602","ATLANTIC HEIGHTS PHARMACY INC"
"2603","ATLANTIC HEIGHTS SPECIALTY SCRIPT CORP"
"2604","ATLANTIC MEDICAL PC"
"2605","ATLANTIC MEDICAL PLAZA PC"
"2606","ATLANTIC OPTICAL, INC"
"2607","ATLANTIC RADIOLOGY IMAGING PC"
"2608","ATLANTIC RADIOLOGY, PC"
"2609","ATLANTIC REHAB PHYSICAL THERAPY PC"
"2610","ATLANTIC SPORTS MEDICINE"
"2611","ATLANTIC SURGICAL SUPPLY CORP"
"2612","ATLANTIC URGENT CARE, PC"
"2613","ATLANTIC-PACIFIC ACUPUNCTURE, P.C"
"2614","ATLANTIS MEDICAL ASSOCIATE PC"
"2615","ATLANTIS OPERATING LLC"
"2616","ATLANTIS REHABILITATION&RHCF"
"2617","ATLANTIS TRANSPORTATION SERVICES INC"
"2618","ATLANTIX MEDICAL SUPPLIES INC."
"2619","ATLAS CHIROPRACTIC SPINE CARE, PLLC"
"2620","ATLAS FOUNDATION FOR AUTISM"
"2621","ATLAS IPA, LLC"
"2622","ATLEY'S SERVICES FOR CHILDREN INC."
"2623","ATLURI PHARMACY INC."
"2624","ATOM IMAGING LLC"
"2625","ATS REHAB OT & PT & SLP PLLC"
"2626","ATTENTIVE BEHAVIOR CARE"
"2627","ATTENTIVE HOME CARE AGENCY INC"
"2628","AUDIO HELP ASSOCIATES OF MANHATTAN, LLC"
"2629","AUDIOLOGICAL DIAGNOSTICS"
"2630","AUDIOLOGICAL DIAGNOSTICS, P.C."
"2631","AUDIOLOGY & HEARING HEALTH PLLC"
"2632","AUDIOLOGY BALANCE DIAGNOSTIC P.C."
"2633","AUDIOLOGY ISLAND PC"
"2634","AUDIOLOGY SERVICES"
"2635","AUDREY HALPERN MD PC"
"2636","AUDREY J. WOOLRICH, MD,PC"
"2637","AUDUBON DENTAL PC"
"2638","AUDUBON MEDICAL PRACTICE, PC"
"2639","AUDUBON PHARMACY INC"
"2640","AUDUBON PRIMARY CARE MEDICINE PLLC"
"2641","AUERBACH AND TREGERMAN"
"2642","AUGUST A. FEOLA, M.D., P.C."
"2643","AUGUST AICHHORN CENTER FOR ADOLESCENT RESIDENTIAL CARE, INC."
"2644","AUGUST AMBULETTE SERVICE, INC."
"2645","AUGUSTUS DUNSEITH COLEY"
"2646","AUM'S BEHAVIOR ANALYSIS SERVICES, L.L.C."
"2647","AURORA ACUPUNCTURE P.C."
"2648","AURORA BEHAVIORAL HEALTH"
"2649","AUSTIN DIAGNOSTIC MEDICAL P.C."
"2650","AUSTIN DRUGS INC."
"2651","AUSTIN LU MEDICAL P.L.L.C."
"2652","AUSTIN SCHLECKER MD PC"
"2653","AUSTIN T FRAGOMEN MD PC"
"2654","AUSTRA LINE PHARMACY INC."
"2655","AUTISM EARLY ENRICHMENT SERVICES LLC"
"2656","AUTISM PROHELP, LLC"
"2657","AUTONOMIC NEUROLOGY, PLLC"
"2658","AUTUMN BEAR ACUPUNCTURE PLLC"
"2659","AV MEDICAL PLLC"
"2660","AV WELLNESS INC"
"2661","AVA AMBULETTE CORP"
"2662","AVALON CHEMISTS INC"
"2663","AVALON RADIOLOGY, P.C."
"2664","AVAN-GARD CHIROPRACTIC P.C."
"2665","AVANGUARD MEDICAL GROUP"
"2666","AVANGUARD MEDICAL GROUP, PLLC"
"2667","AVANTGARDE BEHAVIORAL HEALTH SERVICES LCSW PLLC"
"2668","AVANTI WE GO INC"
"2669","AVANY MEDICAL PC"
"2670","AVB CARE INC"
"2671","AVCARE MEDICAL SOLUTIONS PC"
"2672","AVDEYCHIK CORP."
"2673","AVE J MEDICAL PC"
"2674","AVE J ROYAL CARE PHARMACY LLC"
"2675","AVE M PHARMACY CORP."
"2676","AVE O PHARMACY CORP"
"2677","AVE P MEDICAL PC"
"2678","AVE R PHARMACY INC"
"2679","AVE T PHARMACY INC"
"2680","AVE U DENTAL HEALTH CARE P.C."
"2681","AVE U MEDICAL CARE PC"
"2682","AVE U MEDICAL PC"
"2683","AVE Z PHARMACY"
"2684","AVENTURA HOSPITAL AND MEDICAL CENTER"
"2685","AVENUE A PHARMACY, INC"
"2686","AVENUE C MEDICAL PC"
"2687","AVENUE D OPTICIANS INC"
"2688","AVENUE D PROFESSIONAL GROUP P.C."
"2689","AVENUE DENTAL NY, PC"
"2690","AVENUE F PHARMACY INC."
"2691","AVENUE K (ICL)"
"2692","AVENUE L MEDICAL PC"
"2693","AVENUE MEDICAL ASSOCIATES PC"
"2694","AVENUE P MEDICAL SERVICES, PC"
"2695","AVENUE T CHIROPRACTIC, PC"
"2696","AVENUE U DENTAL ARTS"
"2697","AVENUE U FOOTCARE"
"2698","AVENUE U MEDICAL CARE PC"
"2699","AVENUE U OPTOMETRY P.C."
"2700","AVENUE U PHARMACY CORP"
"2701","AVENUE U PODIATRY,P.C."
"2702","AVENUE V CARDIOLOGY P.C"
"2703","AVENUE V PRESCRIPTIONS INC"
"2704","AVENUE X DENTAL PLLC"
"2705","AVENUE X PHARMACY INC"
"2706","AVENUE X PRIMARY MEDICAL CARE P.C."
"2707","AVET TRANSIT INC."
"2708","AVEX MEDICAL MANAGEMENT PC"
"2709","AVEX MEDICAL TESTING CORP"
"2710","AVICENNA ASC INC."
"2711","AVICHAI STERN DDS PLLC"
"2712","AVIGHNA RX LLC"
"2713","AVIGNONE PHARMACY"
"2714","AVISHAI T NEUMAN MD PLLC"
"2715","AVISHAI T. NEWUMAN"
"2716","AVISTA HEALTHCARE LLC"
"2717","AVIV MEDICAL CARE PC"
"2718","AVIVA MEDICAL IMAGING, P.C."
"2719","AVIVA ROHDE PHD PSYCHOLOGIST PC"
"2720","AVK RX INC"
"2721","AVL DENTAL PLLC"
"2722","AVL PODIATRY PC"
"2723","AVM CHIROPRACTIC P.C."
"2724","AVMEDCO SERVICES INC"
"2725","AVN PHARMACY, INC"
"2726","AVO A SAMUELIAN DDS PLLC"
"2727","AVON PHARMACY & SURGICAL INC"
"2728","AVPERIODONTICS PLLC"
"2729","AVRAHAM Y HENOCH MD PC"
"2730","AVS ARTHRITIS & ASSOCIATES PC"
"2731","AVS PHARMACY/DBA: LEROY PHARMACY"
"2732","AVS RX INC"
"2733","AWARD PHARMACY CORP"
"2734","AWARENESS MENTAL HEALTH COUNSELING PLLC"
"2735","AWFULLY BIG ADVENTURE INC"
"2736","AXIOM HOLISTIC, LLC"
"2737","AXIOM MEDICAL P C"
"2738","AXIS TRANS LLC"
"2739","AXON NEUROSURGICAL PLLC"
"2740","AXOXA NEW VITALITY MEDICAL PC"
"2741","AYLA SERVICES CORP"
"2742","AYLA YAVIN ACUPUNCTURE PC"
"2743","AYM PHYSICAL THERAPY PC"
"2744","AYMAN E. FARID, MD LLC"
"2745","AZ OPERATOR LLC"
"2746","AZA HOME HEALTH CARE INC."
"2747","AZA HOME HEALTH CARE LLC"
"2748","AZER INC"
"2749","AZIMUTH MEDICAL PC"
"2750","AZIMUTH PHYSICAL THERAPY, PC"
"2751","AZIMUTH RADIOLOGY, PC"
"2752","AZRA T WASTI PHYSICIAN PC"
"2753","AZUKA ANYOKU, MD DBA FSNNY"
"2754","B & H PHARMACY CORP"
"2755","B & K EARLY INTERVENTION"
"2756","B & L HEALTH INC"
"2757","B & P EMPIRE MANAGEMENT INC."
"2758","B & P PHARMACY INC"
"2759","B & R INCORPORATED"
"2760","B & S MEDICAL SUPPLY INC"
"2761","B BARNES ASSOCIATES"
"2762","B D OPTICAL INC"
"2763","B DAVID GORMAN MD PC"
"2764","B FAJARDO MD PC"
"2765","B I RADIATION ONCOLOGY ASSOCIATES"
"2766","B J NEWMAN MD & J J SCHWARTZ MD"
"2767","B N D PHARMACY, INC"
"2768","B-MEDICAL HEALTH PC"
"2769","B. SOUFERIAN DDS PC"
"2770","B.C.P. PHARMACY, INC"
"2771","B.FRIDMAN MEDICAL SERVICES, PC"
"2772","B.G.WAY PT. PC."
"2773","B'KLYN EYE BOUTIQUE, INC."
"2774","B&A PHARMACY CORP."
"2775","B&B DENTAL,PC"
"2776","B&B EYES INC."
"2777","B&B REHABILITATION OT PC"
"2778","B&H HEALTHCARE INC"
"2779","B&L HEALTH INC. DBA ALLHEALTH DIAGNOSTIC AND TREATMENT CENTER"
"2780","B&M FAMILY PHARMACY CORP"
"2781","B&T MARLBORO PHARMACY, INC."
"2782","B&V OPTICAL"
"2783","B&VOPTICAL"
"2784","BA2RO INC"
"2785","BABAK MOHAJER MD PC"
"2786","BABAK TOFIGHI, MD"
"2787","BABAR K RAO MD PC"
"2788","BABU PATEL MDPC"
"2789","BABY AND COMPANY WINSTON SALEM LLC"
"2790","BABY BLOOMS REHAB, P.C."
"2791","BABY BOOM FAMILY SERVICES INC"
