"","before","after"
"1491","ADA RUDERMAN MEDICAL PC","ADA RUDERMAN MEDICAL PC"
"1492","ADA S COOPER DDS PC","ADA S COOPER DDS PC"
"1493","ADAM B ROSENBLUTH MD PC","ADAM B ROSENBLUTH MD PC"
"1494","ADAM B. PASS M.D. P.C.","ADAM B. PASS M.D. P.C."
"1495","ADAM BENJAMIN COHEN MD PLLC","ADAM BENJAMIN COHEN MD PLLC"
"1496","ADAM BROOK MD PHD PLLC","ADAM BROOK MD PHD PLLC"
"1497","ADAM D. LIBOW, M.D., P.C.","ADAM D. LIBOW, M.D., P.C."
"1498","ADAM DAVID SCHAFFNER, M.D., P.L.L.C.","ADAM DAVID SCHAFFNER, M.D., P.L.L.C."
"1499","ADAM GEYER MD PC","ADAM GEYER MD PC"
"1500","ADAM K PENSTEIN MD PLLC","ADAM K PENSTEIN MD PLLC"
"1501","ADAM PHYSICAL THERAPY P.C.","ADAM PHYSICAL THERAPY P.C."
"1502","ADAM PHYSICAL THERAPY PC","ADAM PHYSICAL THERAPY PC"
"1503","ADAM SCOT HARWOOD, D.M.D., P.C.","ADAM SCOT HARWOOD, D.M.D., P.C."
"1504","ADAMO TRANSPORTATION, INC.","ADAMO TRANSPORTATION, INC."
"1505","ADAMS CHIROPRACTIC, P.C.","ADAMS CHIROPRACTIC, P.C."
"1506","ADAPTATION MEDICAL PC","ADAPTATION MEDICAL PC"
"1507","ADAPTIVE DESIGN ASSOCIATION, INC.","ADAPTIVE DESIGN ASSOCIATION, INC."
"1508","ADAPTIVE SOLUTIONS MULTI SERVICES (ST, OT, PT, PSY)PLLC","ADAPTIVE SOLUTIONS MULTI SERVICES (ST, OT, PT, PSY)PLLC"
"1509","ADD RESOURCE CENTER","ADD RESOURCE CENTER"
"1510","ADDICT REHABILITATION CENTER FUND INC","ADDICT REHABILITATION CENTER FUND INC"
"1511","ADDICTS REHABILITATION CENTER FUND INC.","ADDICTS REHABILITATION CENTER FUND INC."
"1512","ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER LLC","ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER LLC"
"1513","ADEE PHARMACY INC","ADEE PHARMACY INC"
"1514","ADEL BATRI, MD PC","ADEL BATRI, MD PC"
"1515","ADEMI INC","ADEMI INC"
"1516","ADEOLA R. UTHMAN. M.D.,P.C.","ADEOLA R. UTHMAN. M.D.,P.C."
"1517","ADEPT PHYSICAL THERAPY REHABILITATION PLLC","ADEPT PHYSICAL THERAPY REHABILITATION PLLC"
"1518","ADHD NEW YORK, LLC","ADHD NEW YORK, LLC"
"1519","ADIB ALHADDAD, MD, PLLC","ADIB ALHADDAD, MD, PLLC"
"1520","ADJ FI INC.","ADJ FI INC."
"1521","ADJ WISDOM HOME CARE INC","ADJ WISDOM HOME CARE INC"
"1522","ADLER DENTAL P.C.","ADLER DENTAL P.C."
"1523","ADLER MOLLY GURLAND L.L.C","ADLER MOLLY GURLAND L.L.C"
"1524","ADOL PARNT INWOOD HS TS","ADOL PARNT INWOOD HS TS"
"1525","ADRIAN GONZALEZ, M.D., P.C.","ADRIAN GONZALEZ, M.D., P.C."
"1526","ADRIANA & JOSIE LLC","ADRIANA & JOSIE LLC"
"1527","ADRIANA P. DINARDO LCSW P.C.","ADRIANA P. DINARDO LCSW P.C."
"1528","ADRIENNE SPROUSE MD LLC","ADRIENNE SPROUSE MD LLC"
"1529","ADRIENNE W. KATZOW, PHD, CLINICAL PSYCHOLOGIST, PLLC","ADRIENNE W. KATZOW, PHD, CLINICAL PSYCHOLOGIST, PLLC"
"1530","ADULT & GERIATRICS MEDICAL CARE, PC","ADULT & GERIATRICS MEDICAL CARE, PC"
"1531","ADULT AND CHILD ALLERGY ASTHMA CARE PC","ADULT AND CHILD ALLERGY ASTHMA CARE PC"
"1532","ADULT CARE SERVICES","ADULT CARE SERVICES"
"1533","ADULT CENTERS OF BROOKLYN INC","ADULT CENTERS OF BROOKLYN INC"
"1534","ADULT COMPREHENSIVE UNIVERSAL MEDICAL ASSOCIATES LLC","ADULT COMPREHENSIVE UNIVERSAL MEDICAL ASSOCIATES LLC"
"1535","ADULT DAY CARE CENTER SCHULMAN SCHACHNE INSTITUTE","ADULT DAY CARE CENTER SCHULMAN SCHACHNE INSTITUTE"
"1536","ADULT MEDICAL CARE, P.C.","ADULT MEDICAL CARE, P.C."
"1537","ADULT RESOURCES CENTER","ADULT RESOURCES CENTER"
"1538","ADVANCE CLAIMS INC.","ADVANCE CLAIMS INC."
"1539","ADVANCE HOME CARE","ADVANCE HOME CARE"
"1540","ADVANCE HOME CARE LLC","ADVANCE HOME CARE LLC"
"1541","ADVANCE MEDICAL & WELLNESS","ADVANCE MEDICAL & WELLNESS"
"1542","ADVANCE MEDICAL AND DIET SERVICES","ADVANCE MEDICAL AND DIET SERVICES"
"1543","ADVANCE ORTHOPEDIC AND SPINE CARE, PLLC","ADVANCE ORTHOPEDIC AND SPINE CARE, PLLC"
"1544","ADVANCE PLUS PHYSICAL THERAPY SERVICES PC","ADVANCE PLUS PHYSICAL THERAPY SERVICES PC"
"1545","ADVANCE PRIMARY SPECIALTY CARE","ADVANCE PRIMARY SPECIALTY CARE"
"1546","ADVANCE PROFESSIONAL MEDICAL PC","ADVANCE PROFESSIONAL MEDICAL PC"
"1547","ADVANCE SLEEP TESTING INC","ADVANCE SLEEP TESTING INC"
"1548","ADVANCE THERAPEUTIC CARE PHYSICAL THERAPY P.C.","ADVANCE THERAPEUTIC CARE PHYSICAL THERAPY P.C."
"1549","ADVANCED ACCESS MEDICAL CARE, PLLC","ADVANCED ACCESS MEDICAL CARE, PLLC"
"1550","ADVANCED ACUPUNCTURE SERVICES","ADVANCED ACUPUNCTURE SERVICES"
"1551","ADVANCED ACUPUNCTURE SERVICES, P.C","ADVANCED ACUPUNCTURE SERVICES, P.C"
"1552","ADVANCED ADULT & PEDIATRIC UROLOGY LLC","ADVANCED ADULT & PEDIATRIC UROLOGY LLC"
"1553","ADVANCED ADULT HEALTH NP, PC.","ADVANCED ADULT HEALTH NP, PC."
"1554","ADVANCED ALLERGY & ASTHMA FAMILY CARE","ADVANCED ALLERGY & ASTHMA FAMILY CARE"
"1555","ADVANCED ALLERGY AND ASTHMA ASSOCIATES, P.C.","ADVANCED ALLERGY AND ASTHMA ASSOCIATES, P.C."
"1556","ADVANCED AMBULATORY ENDOSCOPY PLLC","ADVANCED AMBULATORY ENDOSCOPY PLLC"
"1557","ADVANCED ASIAN PHARMACY LLC","ADVANCED ASIAN PHARMACY LLC"
"1558","ADVANCED AUDIOLOGY SERVICES OF NEW YORK, PC","ADVANCED AUDIOLOGY SERVICES OF NEW YORK, PC"
"1559","ADVANCED BEHAVIORAL PSYCHIATRY, PC","ADVANCED BEHAVIORAL PSYCHIATRY, PC"
"1560","ADVANCED BRONX DENTAL PLLC","ADVANCED BRONX DENTAL PLLC"
"1561","ADVANCED CARDIO DIAGNOSTIC PLLC","ADVANCED CARDIO DIAGNOSTIC PLLC"
"1562","ADVANCED CARE AMBULETTE INC","ADVANCED CARE AMBULETTE INC"
"1563","ADVANCED CARE AUDIOLOGY P.C.","ADVANCED CARE AUDIOLOGY P.C."
"1564","ADVANCED CARE CHIROPRACTIC OF N.Y., P.C","ADVANCED CARE CHIROPRACTIC OF N.Y., P.C"
"1565","ADVANCED CHIROPRACTIC OF PELHAM BAY P.C.","ADVANCED CHIROPRACTIC OF PELHAM BAY P.C."
"1566","ADVANCED CLINICAL LABORATORY SOLUTIONS,INC.","ADVANCED CLINICAL LABORATORY SOLUTIONS,INC."
"1567","ADVANCED COMMUNICATION TRAINING","ADVANCED COMMUNICATION TRAINING"
"1568","ADVANCED DENTAL ARTS PC","ADVANCED DENTAL ARTS PC"
"1569","ADVANCED DENTAL CARE OF NYC PC","ADVANCED DENTAL CARE OF NYC PC"
"1570","ADVANCED DENTISTRY DENTAL OFFICE PC","ADVANCED DENTISTRY DENTAL OFFICE PC"
"1571","ADVANCED DENTISTRY FOR U","ADVANCED DENTISTRY FOR U"
"1572","ADVANCED DERMATOLOGY LASER AND COSMETIC SURGERY P.C.","ADVANCED DERMATOLOGY LASER AND COSMETIC SURGERY P.C."
"1573","ADVANCED DERMATOLOGY OF COOP CITY PC","ADVANCED DERMATOLOGY OF COOP CITY PC"
"1574","ADVANCED DERMATOLOGY OF NEW YORK, P.C.","ADVANCED DERMATOLOGY OF NEW YORK, P.C."
"1575","ADVANCED DERMATOLOGY OF NEW YORK, PC","ADVANCED DERMATOLOGY OF NEW YORK, PC"
"1576","ADVANCED DERMATOLOGY OF THE BRONX PC","ADVANCED DERMATOLOGY OF THE BRONX PC"
"1577","ADVANCED DIAGNOSTIC MEDICAL SERVICES, P.C.","ADVANCED DIAGNOSTIC MEDICAL SERVICES, P.C."
"1578","ADVANCED DIAGNOSTIC SERVICES AT HUTCHINSON INC","ADVANCED DIAGNOSTIC SERVICES AT HUTCHINSON INC"
"1579","ADVANCED DIAGNOSTIC SERVICES AT KINGSBRIDGE INC","ADVANCED DIAGNOSTIC SERVICES AT KINGSBRIDGE INC"
"1580","ADVANCED DIAGNOSTIC SERVICES INC","ADVANCED DIAGNOSTIC SERVICES INC"
"1581","ADVANCED DIAGNOSTICS AND MEDICAL IMAGING PA","ADVANCED DIAGNOSTICS AND MEDICAL IMAGING PA"
"1582","ADVANCED FAMILY DENTISTRY PC","ADVANCED FAMILY DENTISTRY PC"
"1583","ADVANCED FAMILY MEDICAL CARE PC","ADVANCED FAMILY MEDICAL CARE PC"
"1584","ADVANCED FERTILITY SERVICES, PC","ADVANCED FERTILITY SERVICES, PC"
"1585","ADVANCED FOOT CARE PLLC","ADVANCED FOOT CARE PLLC"
"1586","ADVANCED FOOTCARE GROUP, PC","ADVANCED FOOTCARE GROUP, PC"
"1587","ADVANCED FOOTCARE OF NEW YORK PLLC","ADVANCED FOOTCARE OF NEW YORK PLLC"
"1588","ADVANCED GASTROENTEROLOGY PRACTICE PLLC","ADVANCED GASTROENTEROLOGY PRACTICE PLLC"
"1589","ADVANCED GYNECOLOGY AND SURGERY PLLC","ADVANCED GYNECOLOGY AND SURGERY PLLC"
"1590","ADVANCED HAND & OCCUPATIONAL THERAPY, PC","ADVANCED HAND & OCCUPATIONAL THERAPY, PC"
"1591","ADVANCED HEALTH & SURGICAL","ADVANCED HEALTH & SURGICAL"
"1592","ADVANCED HEALTH IMPROVEMENT MED, P.C.","ADVANCED HEALTH IMPROVEMENT MED, P.C."
"1593","ADVANCED HEARING NY INC","ADVANCED HEARING NY INC"
"1594","ADVANCED HEART PHYSICIANS&SURGEONS NETWORK PC","ADVANCED HEART PHYSICIANS&SURGEONS NETWORK PC"
"1595","ADVANCED HOLISTIC GROUP","ADVANCED HOLISTIC GROUP"
"1596","ADVANCED HYLAN DENTAL,PC","ADVANCED HYLAN DENTAL,PC"
"1597","ADVANCED INFUSION MEDICAL SERVICES PC","ADVANCED INFUSION MEDICAL SERVICES PC"
"1598","ADVANCED INTERNAL MEDICAL CARE ,LLC","ADVANCED INTERNAL MEDICAL CARE ,LLC"
"1599","ADVANCED LUXURY LIMO SVE INC","ADVANCED LUXURY LIMO SVE INC"
"1600","ADVANCED MANAGEMENT NETWORK INC","ADVANCED MANAGEMENT NETWORK INC"
"1601","ADVANCED MEDICAL & ALTERNATIVE CARE PC","ADVANCED MEDICAL & ALTERNATIVE CARE PC"
"1602","ADVANCED MEDICAL CARE","ADVANCED MEDICAL CARE"
"1603","ADVANCED MEDICAL CARE OF NY, PC","ADVANCED MEDICAL CARE OF NY, PC"
"1604","ADVANCED MEDICAL GROUP PC","ADVANCED MEDICAL GROUP PC"
"1605","ADVANCED MEDICAL OF GRAND CENTRAL PC","ADVANCED MEDICAL OF GRAND CENTRAL PC"
"1606","ADVANCED MEDICAL SUPPLY","ADVANCED MEDICAL SUPPLY"
"1607","ADVANCED MEDICAL SUPPLY INC","ADVANCED MEDICAL SUPPLY INC"
"1608","ADVANCED MOBILE DIAGNOSTIC SERVICES, INC","ADVANCED MOBILE DIAGNOSTIC SERVICES, INC"
"1609","ADVANCED MONITORED CAREGIVING, INC.","ADVANCED MONITORED CAREGIVING, INC."
"1610","ADVANCED MULTI DIAGNOSTIC SERVICES","ADVANCED MULTI DIAGNOSTIC SERVICES"
"1611","ADVANCED MULTICARE MEDICAL PC","ADVANCED MULTICARE MEDICAL PC"
"1612","ADVANCED NEUROPSYCHOLOGY SERVICES, PC","ADVANCED NEUROPSYCHOLOGY SERVICES, PC"
"1613","ADVANCED OB/GYN, PC","ADVANCED OB/GYN, PC"
"1614","ADVANCED ONCOLOGY PC","ADVANCED ONCOLOGY PC"
"1615","ADVANCED OPTIONS MEDICAL SERVICES","ADVANCED OPTIONS MEDICAL SERVICES"
"1616","ADVANCED ORAL SURGERY OF BROOKLYN, PLLC","ADVANCED ORAL SURGERY OF BROOKLYN, PLLC"
"1617","ADVANCED ORAL SURGERY OF STATEN ISLAND","ADVANCED ORAL SURGERY OF STATEN ISLAND"
"1618","ADVANCED OSTONOMY PRODUCTS","ADVANCED OSTONOMY PRODUCTS"
"1619","ADVANCED PAIN CARE MEDICAL, P.C.","ADVANCED PAIN CARE MEDICAL, P.C."
"1620","ADVANCED PEDIATRIC PRACTICE PC","ADVANCED PEDIATRIC PRACTICE PC"
"1621","ADVANCED PERIODONTAL SERVICES, PC","ADVANCED PERIODONTAL SERVICES, PC"
"1622","ADVANCED PHYSICAL THERAPY OF NEW YORK PLLC","ADVANCED PHYSICAL THERAPY OF NEW YORK PLLC"
"1623","ADVANCED PODIATRIC CARE P.C.","ADVANCED PODIATRIC CARE P.C."
"1624","ADVANCED PODIATRIC FOOTCARE","ADVANCED PODIATRIC FOOTCARE"
"1625","ADVANCED PRACTICE OF MEDICINE PC","ADVANCED PRACTICE OF MEDICINE PC"
"1626","ADVANCED PROFESSIONAL MARKETING, INC.","ADVANCED PROFESSIONAL MARKETING, INC."
"1627","ADVANCED PSYCHIATRIC CARE PC","ADVANCED PSYCHIATRIC CARE PC"
"1628","ADVANCED PSYCHIATRIC PC","ADVANCED PSYCHIATRIC PC"
"1629","ADVANCED PSYCHIATRIC PERSPECTIVES, PLLC","ADVANCED PSYCHIATRIC PERSPECTIVES, PLLC"
"1630","ADVANCED PSYCHIATRIC SERVICES, PLLC","ADVANCED PSYCHIATRIC SERVICES, PLLC"
"1631","ADVANCED PSYCHOLOGICAL CARE PC","ADVANCED PSYCHOLOGICAL CARE PC"
"1632","ADVANCED PT REHABILITATION ASSOCIATES, PC","ADVANCED PT REHABILITATION ASSOCIATES, PC"
"1633","ADVANCED PULMONARY AND SLEEP PC","ADVANCED PULMONARY AND SLEEP PC"
"1634","ADVANCED RECOVERY EQUIPMENT AND SUPPLIES LLC","ADVANCED RECOVERY EQUIPMENT AND SUPPLIES LLC"
"1635","ADVANCED REHAB CARE PT P.C.","ADVANCED REHAB CARE PT P.C."
"1636","ADVANCED REHABILITATION, P.C.","ADVANCED REHABILITATION, P.C."
"1637","ADVANCED SHOULDER KNEE ORTHOPEDICS P C","ADVANCED SHOULDER KNEE ORTHOPEDICS P C"
"1638","ADVANCED SPINE CARE AND PAIN MANAGEMENT OF NEW YORK","ADVANCED SPINE CARE AND PAIN MANAGEMENT OF NEW YORK"
"1639","ADVANCED SPINE CARE AND PAIN MANAGEMENT OF NY PC","ADVANCED SPINE CARE AND PAIN MANAGEMENT OF NY PC"
"1640","ADVANCED SURGICAL ARTS FACILITY","ADVANCED SURGICAL ARTS FACILITY"
"1641","ADVANCED SURGICAL UROLOGY PC","ADVANCED SURGICAL UROLOGY PC"
"1642","ADVANCED THERAPEUTIC SOLUTIONS","ADVANCED THERAPEUTIC SOLUTIONS"
"1643","ADVANCED UROLOGICAL CARE PC","ADVANCED UROLOGICAL CARE PC"
"1644","ADVANCED UROLOGY ASSOCIATES, P.C.","ADVANCED UROLOGY ASSOCIATES, P.C."
"1645","ADVANCED UROLOGY, P.C.","ADVANCED UROLOGY, P.C."
"1646","ADVANCED WALK-IN FOOT CARE, PLLC","ADVANCED WALK-IN FOOT CARE, PLLC"
"1647","ADVANCED WOUND CARE MEDICAL PC","ADVANCED WOUND CARE MEDICAL PC"
"1648","ADVANCING PSYCHOTHERAPEUTIC EVOLUTIONS, LCSW P.C.","ADVANCING PSYCHOTHERAPEUTIC EVOLUTIONS, LCSW P.C."
"1649","ADVANTA MEDICAL P.C.","ADVANTA MEDICAL P.C."
"1650","ADVANTA MEDICAL PC","ADVANTA MEDICAL PC"
"1651","ADVANTAGE CARE MEDICINE PC","ADVANTAGE CARE MEDICINE PC"
"1652","ADVANTAGE DENTAL","ADVANTAGE DENTAL"
"1653","ADVANTAGE MANAGEMENT ASSOCIATES","ADVANTAGE MANAGEMENT ASSOCIATES"
"1654","ADVANTAGE PHYSICAL THERAPY OF NYC, P.C","ADVANTAGE PHYSICAL THERAPY OF NYC, P.C"
"1655","ADVANTAGE RADIOLOGY. PC","ADVANTAGE RADIOLOGY. PC"
"1656","ADVENT MEDICAL SERVICES PLLC","ADVENT MEDICAL SERVICES PLLC"
"1657","ADVENTURE MEDICAL SUPPLY LLC","ADVENTURE MEDICAL SUPPLY LLC"
"1658","ADVOCATE BRONX FOOT CARE","ADVOCATE BRONX FOOT CARE"
"1659","ADVOCATES FOR SERVICES FOR THE BLIND MULITHANDICAPPED, INC","ADVOCATES FOR SERVICES FOR THE BLIND MULITHANDICAPPED, INC"
"1660","AEA VISION GROUP, INC","AEA VISION GROUP, INC"
"1661","AEGIS PHARMACY INC","AEGIS PHARMACY INC"
"1662","AEM OPTICAL INC","AEM OPTICAL INC"
"1663","AESCULAPIUS MEDICAL PC","AESCULAPIUS MEDICAL PC"
"1664","AESTHETIC AND IMPLANT DENTAL ARTS","AESTHETIC AND IMPLANT DENTAL ARTS"
"1665","AESTHETIC CREATIONS DENTAL, P.L.L.C.","AESTHETIC CREATIONS DENTAL, P.L.L.C."
"1666","AESTHETIC DENTAL GROUP OF BROOKLYN","AESTHETIC DENTAL GROUP OF BROOKLYN"
"1667","AESTHETIC FACIAL SURGERY CENTER OF NY","AESTHETIC FACIAL SURGERY CENTER OF NY"
"1668","AESTHETIC PAVILION AMBULATORY SURGERY CENTER LLC","AESTHETIC PAVILION AMBULATORY SURGERY CENTER LLC"
"1669","AESTHETIC SURGERY AND DERMATOLOGY, PC","AESTHETIC SURGERY AND DERMATOLOGY, PC"
"1670","AESTHETICAREDENTAL","AESTHETICAREDENTAL"
"1671","AF MEDICAL OF FLATBUSH PC","AF MEDICAL OF FLATBUSH PC"
"1672","AF PHYSICAL THERAPY, PC","AF PHYSICAL THERAPY, PC"
"1673","AFAM DENTAL ASSOCIATES P C","AFAM DENTAL ASSOCIATES P C"
"1674","AFAM DENTAL ASSOCIATES, LLP","AFAM DENTAL ASSOCIATES, LLP"
"1675","AFAM DENTAL PLLC","AFAM DENTAL PLLC"
"1676","AFAM FAMILY DENTAL PLLC","AFAM FAMILY DENTAL PLLC"
"1677","AFAM PHARMACY ASSOCIATES","AFAM PHARMACY ASSOCIATES"
"1678","AFF PSYCHOTHERAPY","AFF PSYCHOTHERAPY"
"1679","AFFABLE HOME CARE, INC.","AFFABLE HOME CARE, INC."
"1680","AFFECTIVE LCSW SERVICES PLLC","AFFECTIVE LCSW SERVICES PLLC"
"1681","AFFILIATED MEDICAL CARE PC","AFFILIATED MEDICAL CARE PC"
"1682","AFFILIATED UNIVERSAL PODIATRY PLLC","AFFILIATED UNIVERSAL PODIATRY PLLC"
"1683","AFFINITY BIOTECH, INC.","AFFINITY BIOTECH, INC."
"1684","AFFINITY HEALTH PLAN","AFFINITY HEALTH PLAN"
"1685","AFFINITY MEDICAL PC","AFFINITY MEDICAL PC"
"1686","AFFORDABLE DRUGS, INC.","AFFORDABLE DRUGS, INC."
"1687","AFFORDABLE OPTICAL OF STARETT CITY, INC.","AFFORDABLE OPTICAL OF STARETT CITY, INC."
"1688","AFFORDABLE SENIOR CARE INC","AFFORDABLE SENIOR CARE INC"
"1689","AFG INTERNAL MEDICINE ASSOCIATES PLLC","AFG INTERNAL MEDICINE ASSOCIATES PLLC"
"1690","AFI PHARMACY LLC","AFI PHARMACY LLC"
"1691","AFS MEDICAL SERVICES, PLLC","AFS MEDICAL SERVICES, PLLC"
"1692","AFSHAN HAQUE, DDS, P.C","AFSHAN HAQUE, DDS, P.C"
"1693","AFSHAN KHAN PHYSICIAN PC","AFSHAN KHAN PHYSICIAN PC"
"1694","AFTER HOURS PROJECT, INC","AFTER HOURS PROJECT, INC"
"1695","AG ACUPUNCTURE P.C.","AG ACUPUNCTURE P.C."
"1696","AG CARE PT REHAB, PC","AG CARE PT REHAB, PC"
"1697","AG CONSULTANTS","AG CONSULTANTS"
"1698","AG PHYSICAL THERAPY PC","AG PHYSICAL THERAPY PC"
"1699","AG URGENT CARE, P.C.","AG URGENT CARE, P.C."
"1700","AGAPE LUXURY CORP.","AGAPE LUXURY CORP."
"1701","AGAPE TAXI CORP","AGAPE TAXI CORP"
"1702","AGELESS HOME HEALTH CARE, LLC.","AGELESS HOME HEALTH CARE, LLC."
"1703","AGELESS MEN'S HEALTH HOLDINGS, PC CA","AGELESS MEN'S HEALTH HOLDINGS, PC CA"
"1704","AGELESS MEN'S HEALTH PC","AGELESS MEN'S HEALTH PC"
"1705","AGEONICS","AGEONICS"
"1706","AGILE CARDIOLOGY","AGILE CARDIOLOGY"
"1707","AGILE VILLAGER PHYSICAL THERAPY, PLLC","AGILE VILLAGER PHYSICAL THERAPY, PLLC"
"1708","AGING IN AMERICA COMMUNITY SERVICES SENIOR ADULT DAY SERVICES","AGING IN AMERICA COMMUNITY SERVICES SENIOR ADULT DAY SERVICES"
"1709","AGING WELL CORP","AGING WELL CORP"
"1710","AGING WELL RN NP FAMILY HEALTHPLLC","AGING WELL RN NP FAMILY HEALTHPLLC"
"1711","AGK PHYSICAL THERAPY AND ACUPUNCTURE PLLC","AGK PHYSICAL THERAPY AND ACUPUNCTURE PLLC"
"1712","AGNES H WHITAKER MD PC","AGNES H WHITAKER MD PC"
"1713","AGNIESZKA ANTECKA PT PC","AGNIESZKA ANTECKA PT PC"
"1714","AGR SPEECH-LANGUAGE PATHOLOGY","AGR SPEECH-LANGUAGE PATHOLOGY"
"1715","AGRA PHARMACY INC","AGRA PHARMACY INC"
"1716","AGUILAR CHIROPRACTIC PC","AGUILAR CHIROPRACTIC PC"
"1717","AH PHYSICAL THERAPY PC","AH PHYSICAL THERAPY PC"
"1718","AHARON GUTTERMAN MD PLLC","AHARON GUTTERMAN MD PLLC"
"1719","AHAVA ACCESS INC","AHAVA ACCESS INC"
"1720","AHAVA MEDICAL AND REHABILITATION CENTER LLC","AHAVA MEDICAL AND REHABILITATION CENTER LLC"
"1721","AHAVA MEDICAL AND REHABILITATION CENTER, LLC","AHAVA MEDICAL AND REHABILITATION CENTER, LLC"
"1722","AHAVA MEDICAL OF BROOKLYN PC","AHAVA MEDICAL OF BROOKLYN PC"
"1723","AHFK OPTICAL INC.","AHFK OPTICAL INC."
"1724","AHMADY ACUPUNCTURE WORKS PC","AHMADY ACUPUNCTURE WORKS PC"
"1725","AHMALL DRUG CORP","AHMALL DRUG CORP"
"1726","AHMED ORTHODONTICS PC","AHMED ORTHODONTICS PC"
"1727","AHMET ALTINER, MD, PC","AHMET ALTINER, MD, PC"
"1728","AHORRE DRUG CORP","AHORRE DRUG CORP"
"1729","AHRC HEALTHCARE INC.","AHRC HEALTHCARE INC."
"1730","AHRC HOME CARE SERVICES INC","AHRC HOME CARE SERVICES INC"
"1731","AHRC NYC","AHRC NYC"
"1732","AHRON RAZIEL DDS PC","AHRON RAZIEL DDS PC"
"1733","AI SHULMAN DPM PC","AI SHULMAN DPM PC"
"1734","AID PHARMACY INC","AID PHARMACY INC"
"1735","AID PHARMACY NY CORP","AID PHARMACY NY CORP"
"1736","AIDA JUNIK SLP PC","AIDA JUNIK SLP PC"
"1737","AIDA LOPEZ","AIDA LOPEZ"
"1738","AIDE4U HOMECARE, INC.","AIDE4U HOMECARE, INC."
"1739","AIDS SERVICE CENTER OF LOWER MANHATTAN","AIDS SERVICE CENTER OF LOWER MANHATTAN"
"1740","AIDS SERVICE CENTER OF LOWER MANHATTAN, INC","AIDS SERVICE CENTER OF LOWER MANHATTAN, INC"
"1741","AIELLO EYECARE ASSOCIATES, PC","AIELLO EYECARE ASSOCIATES, PC"
"1742","AIHEART ADULT DAY CARE INC","AIHEART ADULT DAY CARE INC"
"1743","AIKO RAMOS DPT PC","AIKO RAMOS DPT PC"
"1744","AIM ADULT DAY CARE SERVICES LLC","AIM ADULT DAY CARE SERVICES LLC"
"1745","AIM HIGH CHILDREN'S SERVICES","AIM HIGH CHILDREN'S SERVICES"
"1746","AINSWORTH INSTITUTE OF PAIN MANAGEMENT PLLC","AINSWORTH INSTITUTE OF PAIN MANAGEMENT PLLC"
"1747","AINSWORTH INSTITUTE OF PAIN MANAGMENT, PLLC","AINSWORTH INSTITUTE OF PAIN MANAGMENT, PLLC"
"1748","AIR ATLANTIC MEDICAL PC","AIR ATLANTIC MEDICAL PC"
"1749","AIR TOUCH DENTAL BROTHERS PC","AIR TOUCH DENTAL BROTHERS PC"
"1750","AIYANA ACUPUNCTURE & CHINESE HERBS","AIYANA ACUPUNCTURE & CHINESE HERBS"
"1751","AJ CARE PHARMACY CORP.","AJ CARE PHARMACY CORP."
"1752","AJ FAMILY PHARMACY CORP.","AJ FAMILY PHARMACY CORP."
"1753","AJ PODIATRY PC","AJ PODIATRY PC"
"1754","AJ VISION INC.","AJ VISION INC."
"1755","AJANTA PHARMACY","AJANTA PHARMACY"
"1756","AJC OPTOMETRY P.C.","AJC OPTOMETRY P.C."
"1757","AK ACUPUNCTURE PC","AK ACUPUNCTURE PC"
"1758","AK AVC 'U' DENTAL CARE PC","AK AVC 'U' DENTAL CARE PC"
"1759","AKASH MEDICAL CARE, PLLC","AKASH MEDICAL CARE, PLLC"
"1760","AKH MEDICAL PC","AKH MEDICAL PC"
"1761","AKIVA MANAGEMENT GROUP","AKIVA MANAGEMENT GROUP"
"1762","AKIVA MANAGEMENT GROUP INC","AKIVA MANAGEMENT GROUP INC"
"1763","AKW SERVICES INC","AKW SERVICES INC"
"1764","AL DERMATOLOGY,PC","AL DERMATOLOGY,PC"
"1765","AL SAFA AL MARWAH INC","AL SAFA AL MARWAH INC"
"1766","AL WAITE OT, PC","AL WAITE OT, PC"
"1767","AL-HUDA PHYSICAL THERAPY, PC","AL-HUDA PHYSICAL THERAPY, PC"
"1768","AL-MEDINA PHARMACY INC","AL-MEDINA PHARMACY INC"
"1769","AL-SHIFA DENTAL ASSOCIATES PC","AL-SHIFA DENTAL ASSOCIATES PC"
"1770","AL-SHIFA DENTAL ASSOCIATES, P.C.","AL-SHIFA DENTAL ASSOCIATES, P.C."
"1771","AL-SHIFA PHARMACY INC","AL-SHIFA PHARMACY INC"
"1772","ALACARE CENTER, INC.","ALACARE CENTER, INC."
"1773","ALAFIA PHARMACY CORP","ALAFIA PHARMACY CORP"
"1774","ALAIN A. FEDIDA, MD","ALAIN A. FEDIDA, MD"
"1775","ALAMGIR ISANI MD PC","ALAMGIR ISANI MD PC"
"1776","ALAN A. KATZ M.D. PLLC","ALAN A. KATZ M.D. PLLC"
"1777","ALAN B SINGER DDS PC","ALAN B SINGER DDS PC"
"1778","ALAN B. KOHN, D.D.S., P.C.","ALAN B. KOHN, D.D.S., P.C."
"1779","ALAN BIENSTOCK, MD PC","ALAN BIENSTOCK, MD PC"
"1780","ALAN C. BERGER, D.C., P.C.","ALAN C. BERGER, D.C., P.C."
"1781","ALAN DAVID FRANKEL DMD PC","ALAN DAVID FRANKEL DMD PC"
